Lambda_GeV,delta_alpha,delta_alpha_over_alpha
1.000000000000000021e-03 5.380531471285220009e-08 5.380531471285220080e-02
1.668100537200059227e-03 1.933662752003562643e-08 1.933662752003562774e-02
2.782559402207125665e-03 6.949223619340461304e-09 6.949223619340461761e-03
4.641588833612777208e-03 2.497421479601963400e-09 2.497421479601963715e-03
7.742636826811269413e-03 8.975267437672701845e-10 8.975267437672702648e-04
1.291549665014883955e-02 3.225543875380889173e-10 3.225543875380889290e-04
2.154434690031883232e-02 1.159200365254517566e-10 1.159200365254517591e-04
3.593813663804625719e-02 4.165950111739001288e-11 4.165950111739001756e-05
5.994842503189409116e-02 1.497164843429602882e-11 1.497164843429602878e-05
1.000000000000000056e-01 5.380531471285219857e-12 5.380531471285220459e-06
1.668100537200059019e-01 1.933662752003563552e-12 1.933662752003563675e-06
2.782559402207123167e-01 6.949223619340473891e-13 6.949223619340473910e-07
4.641588833612777520e-01 2.497421479601962710e-13 2.497421479601963019e-07
7.742636826811269968e-01 8.975267437672699468e-14 8.975267437672700067e-08
1.291549665014882775e+00 3.225543875380895060e-14 3.225543875380895170e-08
2.154434690031882038e+00 1.159200365254518709e-14 1.159200365254518761e-08
3.593813663804625858e+00 4.165950111739001030e-15 4.165950111739001184e-09
5.994842503189408589e+00 1.497164843429603129e-15 1.497164843429603192e-09
1.000000000000000000e+01 5.380531471285220093e-16 5.380531471285220051e-10
1.668100537200059108e+01 1.933662752003562778e-16 1.933662752003562777e-10
2.782559402207125743e+01 6.949223619340461680e-17 6.949223619340461976e-11
4.641588833612772902e+01 2.497421479601967626e-17 2.497421479601967678e-11
7.742636826811261130e+01 8.975267437672720792e-18 8.975267437672720521e-12
1.291549665014882748e+02 3.225543875380894106e-18 3.225543875380894278e-12
2.154434690031882269e+02 1.159200365254518469e-18 1.159200365254518463e-12
3.593813663804625662e+02 4.165950111739001669e-19 4.165950111739001914e-13
5.994842503189408944e+02 1.497164843429603053e-19 1.497164843429603144e-13
1.000000000000000000e+03 5.380531471285219992e-20 5.380531471285220488e-14
1.668100537200055669e+03 1.933662752003571075e-20 1.933662752003571100e-14
2.782559402207120002e+03 6.949223619340491002e-21 6.949223619340491656e-15
4.641588833612772760e+03 2.497421479601968313e-21 2.497421479601968390e-15
7.742636826811261926e+03 8.975267437672718535e-22 8.975267437672719190e-16
1.291549665014882703e+04 3.225543875380894993e-22 3.225543875380894922e-16
2.154434690031882201e+04 1.159200365254518410e-22 1.159200365254518492e-16
3.593813663804625685e+04 4.165950111739000619e-23 4.165950111739000956e-17
5.994842503189409035e+04 1.497164843429602842e-23 1.497164843429602784e-17
1.000000000000000000e+05 5.380531471285221151e-24 5.380531471285221172e-18
1.668100537200055842e+05 1.933662752003570533e-24 1.933662752003570774e-18
2.782559402207125677e+05 6.949223619340461181e-25 6.949223619340461872e-19
4.641588833612772287e+05 2.497421479601968726e-25 2.497421479601969051e-19
7.742636826811278006e+05 8.975267437672683004e-26 8.975267437672683477e-20
1.291549665014882805e+06 3.225543875380894246e-26 3.225543875380894467e-20
2.154434690031877719e+06 1.159200365254523449e-26 1.159200365254523573e-20
3.593813663804625627e+06 4.165950111739001380e-27 4.165950111739001278e-21
5.994842503189396113e+06 1.497164843429609669e-27 1.497164843429609719e-21
1.000000000000000000e+07 5.380531471285220031e-28 5.380531471285219917e-22
1.668100537200055644e+07 1.933662752003570908e-28 1.933662752003571047e-22
2.782559402207125723e+07 6.949223619340461698e-29 6.949223619340462320e-23
